Name;Letterboxd URI;Id;IMDB Id
Judas and the Black Messiah;https://boxd.it/lsew;511342;tt9784798
Twin Peaks;https://boxd.it/g8pk;384557;tt0278784
Klaus;https://boxd.it/ipoi;438751;tt4729430
Carnage;https://boxd.it/2peU;57368;tt1692486
Hara-Kiri: Death of a Samurai;https://boxd.it/32BI;72501;tt1728196
Force Majeure;https://boxd.it/7UcA;188434;tt2121382
Stand by Me;https://boxd.it/2aOe;51821;tt0092005
Bird Box;https://boxd.it/eh1i;340202;tt2737304
Nightmare Alley;https://boxd.it/m0HC;524592;tt7740496
Mon Oncle;https://boxd.it/2apy;51668;tt0050706
The Souvenir;https://boxd.it/gXU4;404352;tt6920356
Bones and All;https://boxd.it/tLd4;709299;tt10168670
An Elephant Sitting Still;https://boxd.it/i1EQ;429628;tt8020896
Oppenheimer;https://boxd.it/wUow;784328;tt15398776
Certain Women;https://boxd.it/bk7W;269898;tt4468634
Schindler's List;https://boxd.it/2aq2;51671;tt0108052
Mean Girls;https://boxd.it/1VNg;46049;tt0377092
The New World;https://boxd.it/1TVW;45334;tt0402399
Mad God;https://boxd.it/vVPm;761046;tt15090124
Hero;https://boxd.it/2bcq;51971;tt0299977
The Killing of a Sacred Deer;https://boxd.it/dZ5G;333310;tt5715874
Rashomon;https://boxd.it/2a9K;51570;tt0042876
Nomadland;https://boxd.it/lnRy;509662;tt9770150
King Arthur: Legend of the Sword;https://boxd.it/8lDS;198982;tt1972591
First Reformed;https://boxd.it/go9C;390610;tt6053438
Onward;https://boxd.it/io92;438272;tt7146812
Stoker;https://boxd.it/34S2;73371;tt1682180
Titane;https://boxd.it/nlQC;556553;tt10944760
Beau Is Afraid;https://boxd.it/u2gE;715856;tt13521006
Coco;https://boxd.it/bYJQ;285509;tt2380307
1917;https://boxd.it/jj4y;460155;tt8579674
Licorice Pizza;https://boxd.it/qTKY;641086;tt11271038
The Wailing;https://boxd.it/9fLy;220556;tt5215952
The Tale of the Princess Kaguya;https://boxd.it/4JQI;112956;tt2576852
BlacKkKlansman;https://boxd.it/hxL8;418135;tt7349662
Capernaum;https://boxd.it/iM3s;447463;tt8267604
Joint Security Area;https://boxd.it/26Ja;50252;tt0260991
American Honey;https://boxd.it/bk7C;269896;tt3721936
The Worst Person in the World;https://boxd.it/oyws;585258;tt10370710
Short Term 12;https://boxd.it/5f6s;124970;tt2370248
Boogie Nights;https://boxd.it/23um;49007;tt0118749
Boyhood;https://boxd.it/3178;71927;tt1065073
Widows;https://boxd.it/e6gc;336066;tt4218572
Whisper of the Heart;https://boxd.it/17uy;26713;tt0113824
